id,rowname,diff,lwr,upr,p adj,Significant
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,6-2,518980099.99999964,395650375.15446085,642309824.8455384,1.532762805567245e-11,Yes
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,6-3,492713599.99999976,369383875.15446097,616043324.8455385,1.533473348303005e-11,Yes
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,6-4,445780699.99999976,322450975.15446097,569110424.8455385,1.536515359390478e-11,Yes
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,6-5,427843899.9999997,304514175.1544609,551173624.8455385,1.5398016195433684e-11,Yes
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,7-5,-130689400.00000006,-254019124.84553885,-7359675.1544612795,0.030905141309221063,Yes
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,7-6,-558533299.9999998,-681863024.8455385,-435203575.15446097,1.5323187163573948e-11,Yes
sp|P43490|NAMPT_HUMAN,7-1,-67488840.00000009,-125850017.47386831,-9127662.52613186,0.013417733350308048,Yes
sp|O75369|FLNB_HUMAN,2-1,-5913030,-10924124.291670134,-901935.7083298657,0.010845153845995936,Yes
sp|O75369|FLNB_HUMAN,3-1,-5761079.999999996,-10772174.29167013,-749985.708329862,0.014249227392230779,Yes
sp|O75369|FLNB_HUMAN,5-1,-5281989.999999995,-10293084.291670129,-270895.70832986105,0.032373609785601554,Yes
sp|O75369|FLNB_HUMAN,6-1,-6514799.999999998,-11525894.291670132,-1503705.7083298638,0.003487799580710438,Yes
sp|O75369|FLNB_HUMAN,7-2,6810309.999999996,1799215.708329862,11821404.29167013,0.0019426749655944153,Yes
sp|O75369|FLNB_HUMAN,7-3,6658359.999999993,1647265.7083298583,11669454.291670127,0.0026303554055283618,Yes
sp|O75369|FLNB_HUMAN,7-4,5896039.9999999935,884945.7083298592,10907134.291670129,0.011184487376442953,Yes
sp|O75369|FLNB_HUMAN,7-5,6179269.999999992,1168175.7083298573,11190364.291670125,0.006631857924848994,Yes
sp|O75369|FLNB_HUMAN,7-6,7412079.999999994,2400985.70832986,12423174.291670129,5.616958672516326e-4,Yes
sp|Q13363|CTBP1_HUMAN,7-1,84949600.00000001,52060775.353526235,117838424.6464738,1.287974726871255e-9,Yes
sp|Q13363|CTBP1_HUMAN,4-2,-36525999.99999997,-69414824.64647375,-3637175.3535261936,0.02007959070294263,Yes
sp|Q13363|CTBP1_HUMAN,5-2,-50311399.99999995,-83200224.64647372,-17422575.35352617,3.271864812055547e-4,Yes
sp|Q13363|CTBP1_HUMAN,6-2,-53829899.99999997,-86718724.64647375,-20941075.353526194,1.0136456207621158e-4,Yes
sp|Q13363|CTBP1_HUMAN,7-2,60564700,27675875.353526223,93453524.64647378,9.827726404898485e-6,Yes
sp|Q13363|CTBP1_HUMAN,6-3,-34672200,-67561024.64647378,-1783375.3535262235,0.03232954674505184,Yes
sp|Q13363|CTBP1_HUMAN,7-3,79722399.99999997,46833575.35352619,112611224.64647375,8.938100481969968e-9,Yes
sp|Q13363|CTBP1_HUMAN,7-4,97090699.99999997,64201875.35352619,129979524.64647375,2.9429569892158725e-11,Yes
sp|Q13363|CTBP1_HUMAN,7-5,110876099.99999994,77987275.35352616,143764924.6464737,1.546929251361462e-11,Yes
sp|Q13363|CTBP1_HUMAN,7-6,114394599.99999997,81505775.35352619,147283424.64647374,1.5396683927804133e-11,Yes
sp|Q9NZ52|GGA3_HUMAN,6-1,-3274181.999999998,-6291347.029247297,-257016.97075269977,0.024957148084915004,Yes
sp|Q9NZ52|GGA3_HUMAN,6-2,-3290551.999999999,-6307717.029247297,-273386.9707527007,0.02383361664589101,Yes
sp|Q9NZ52|GGA3_HUMAN,6-3,-4040990,-7058155.029247299,-1023824.9707527016,0.0023669180992903494,Yes
sp|Q9NZ52|GGA3_HUMAN,6-4,-3317519.9999999963,-6334685.029247295,-300354.9707526979,0.022081995571441637,Yes
sp|P62266|RS23_HUMAN,5-1,32890289.999999963,6232742.972351026,59547837.027648896,0.006588920441467638,Yes
sp|P62266|RS23_HUMAN,6-1,141506989.99999988,114849442.97235094,168164537.0276488,1.5322076940549323e-11,Yes
sp|P62266|RS23_HUMAN,5-2,35460139.99999996,8802592.972351026,62117687.027648896,0.002591838550547676,Yes
sp|P62266|RS23_HUMAN,6-2,144076839.99999988,117419292.97235094,170734387.0276488,1.5322076940549323e-11,Yes
sp|P62266|RS23_HUMAN,5-3,30713159.999999993,4055612.9723510556,57370707.027648926,0.013938606637857509,Yes
sp|P62266|RS23_HUMAN,6-3,139329859.9999999,112672312.97235097,165987407.02764884,1.5322076940549323e-11,Yes
sp|P62266|RS23_HUMAN,6-4,128180599.9999999,101523052.97235096,154838147.02764884,1.5322298985154248e-11,Yes
sp|P62266|RS23_HUMAN,6-5,108616699.99999991,81959152.97235097,135274247.02764884,1.53298485017217e-11,Yes
sp|P62266|RS23_HUMAN,7-5,-33721069.99999997,-60378617.02764891,-7063522.972351033,0.004899819617412593,Yes
sp|P62266|RS23_HUMAN,7-6,-142337769.99999988,-168995317.0276488,-115680222.97235094,1.5322076940549323e-11,Yes
sp|P07858|CATB_HUMAN,7-1,131602860.00000003,104684897.55980809,158520822.44019198,1.5322298985154248e-11,Yes
sp|P07858|CATB_HUMAN,7-2,122250800,95332837.55980806,149168762.44019192,1.5322965118969023e-11,Yes
sp|P07858|CATB_HUMAN,7-3,122787600.00000003,95869637.55980809,149705562.44019198,1.5322965118969023e-11,Yes
sp|P07858|CATB_HUMAN,7-4,113746900,86828937.55980806,140664862.44019192,1.53271839664626e-11,Yes
sp|P07858|CATB_HUMAN,7-5,104799900.00000001,77881937.55980808,131717862.44019195,1.533828619670885e-11,Yes
sp|P07858|CATB_HUMAN,7-6,107978300.00000003,81060337.55980809,134896262.44019198,1.5334067349215275e-11,Yes
sp|Q9C0H2|TTYH3_HUMAN,6-1,7113010.000000003,4095105.625191019,10130914.374808986,2.0280887524926072e-8,Yes
sp|Q9C0H2|TTYH3_HUMAN,6-2,6677649.999999999,3659745.625191015,9695554.374808982,1.1752716633228744e-7,Yes
sp|Q9C0H2|TTYH3_HUMAN,6-3,6807360,3789455.625191016,9825264.374808984,6.971436750102811e-8,Yes
sp|Q9C0H2|TTYH3_HUMAN,6-4,6048760,3030855.625191016,9066664.374808984,1.4435530483192238e-6,Yes
sp|Q9C0H2|TTYH3_HUMAN,7-4,-3094909.9999999986,-6112814.374808982,-77005.62519101473,0.04083950226560584,Yes
sp|Q9C0H2|TTYH3_HUMAN,6-5,5322230,2304325.625191016,8340134.374808984,2.418098930456747e-5,Yes
sp|Q9C0H2|TTYH3_HUMAN,7-5,-3821439.9999999986,-6839344.374808982,-803535.6251910147,0.004839859828096205,Yes
sp|Q9C0H2|TTYH3_HUMAN,7-6,-9143669.999999998,-12161574.374808982,-6125765.625191014,2.0872192862952943e-11,Yes
sp|O75880|SCO1_HUMAN,2-1,4276469.999999997,566669.3519093534,7986270.648090641,0.013862716810844944,Yes
sp|O75880|SCO1_HUMAN,3-1,5654900.000000001,1945099.3519093571,9364700.648090646,3.4686890115942504e-4,Yes
sp|O75880|SCO1_HUMAN,5-2,-5396309.999999994,-9106110.648090638,-1686509.3519093506,7.272820591406326e-4,Yes
sp|O75880|SCO1_HUMAN,6-2,-6843899.999999994,-10553700.648090638,-3134099.3519093506,9.455437544825251e-6,Yes
sp|O75880|SCO1_HUMAN,7-2,-7231579.9999999935,-10941380.648090638,-3521779.3519093497,2.7726420449569744e-6,Yes
