Protein.IDs,Fraction,n,n_C,n_AD,tStat,pVal,padj,ttest_significant,Entropy Control,Entropy AD,Entropy difference
sp|P62993|GRB2_HUMAN,5,10,5,5,-0.8882785624084242,0.41609646568532577,0.7281688149493201,No,0.6920692254149877,0.7029318757282502,0.0108626503132625
sp|P62993|GRB2_HUMAN,7,10,5,5,0.5139400944838547,0.6258977297687374,0.8762568216762322,No,0.6920692254149877,0.7029318757282502,0.0108626503132625
sp|P62993|GRB2_HUMAN,6,10,5,5,0.27374812646724167,0.7917328852728516,0.9236883661516603,No,0.6920692254149877,0.7029318757282502,0.0108626503132625
sp|P62993|GRB2_HUMAN,3,10,5,5,-0.0207114822909775,0.9842046799731432,0.9842046799731432,No,0.6920692254149877,0.7029318757282502,0.0108626503132625
sp|P63000|RAC1_HUMAN;sp|P15153|RAC2_HUMAN,1,10,5,5,-1.0210265488130599,0.35447783493654944,0.6203362111389615,No,0.9629812028368512,0.9555627011782057,0.007418501658645438
sp|P63000|RAC1_HUMAN;sp|P15153|RAC2_HUMAN,5,10,5,5,1.0917352416451531,0.31506363034446866,0.6203362111389615,No,0.9629812028368512,0.9555627011782057,0.007418501658645438
sp|P63000|RAC1_HUMAN;sp|P15153|RAC2_HUMAN,6,10,5,5,-1.178661714261274,0.2737821404325121,0.6203362111389615,No,0.9629812028368512,0.9555627011782057,0.007418501658645438
sp|P63000|RAC1_HUMAN;sp|P15153|RAC2_HUMAN,7,10,5,5,1.5551323183673442,0.16117181647285556,0.6203362111389615,No,0.9629812028368512,0.9555627011782057,0.007418501658645438
sp|P63000|RAC1_HUMAN;sp|P15153|RAC2_HUMAN,3,10,5,5,-0.5216398628817568,0.6160651466098005,0.8624912052537207,No,0.9629812028368512,0.9555627011782057,0.007418501658645438
sp|P63000|RAC1_HUMAN;sp|P15153|RAC2_HUMAN,2,10,5,5,0.16087402661268713,0.8762074320608932,0.8868537141005142,No,0.9629812028368512,0.9555627011782057,0.007418501658645438
sp|P63000|RAC1_HUMAN;sp|P15153|RAC2_HUMAN,4,10,5,5,-0.14688923488164407,0.8868537141005142,0.8868537141005142,No,0.9629812028368512,0.9555627011782057,0.007418501658645438
sp|P63010|AP2B1_HUMAN,2,10,5,5,-1.5931872638004663,0.1518984040083168,0.3910527803157095,No,0.9656360922013667,0.9812036764969735,0.015567584295606784
sp|P63010|AP2B1_HUMAN,3,10,5,5,-1.5193269285637698,0.16759404870673264,0.3910527803157095,No,0.9656360922013667,0.9812036764969735,0.015567584295606784
sp|P63010|AP2B1_HUMAN,6,10,5,5,1.7014051772664258,0.1273573226303733,0.3910527803157095,No,0.9656360922013667,0.9812036764969735,0.015567584295606784
sp|P63010|AP2B1_HUMAN,1,10,5,5,-1.3244905219905143,0.23046453130282604,0.4033129297799456,No,0.9656360922013667,0.9812036764969735,0.015567584295606784
sp|P63010|AP2B1_HUMAN,4,10,5,5,-0.6423613604930248,0.539856010785275,0.6104642658693262,No,0.9656360922013667,0.9812036764969735,0.015567584295606784
sp|P63010|AP2B1_HUMAN,5,10,5,5,0.5367622278219779,0.6104642658693262,0.6104642658693262,No,0.9656360922013667,0.9812036764969735,0.015567584295606784
sp|P63010|AP2B1_HUMAN,7,10,5,5,-0.7282237400993048,0.48861500091893706,0.6104642658693262,No,0.9656360922013667,0.9812036764969735,0.015567584295606784
sp|P63027|VAMP2_HUMAN,5,10,5,5,4.290281473605582,0.0036179123311737777,0.025325386318216445,Yes,0.9261363967836902,0.9420629108100212,0.01592651402633105
sp|P63027|VAMP2_HUMAN,1,10,5,5,-2.079081985861881,0.08926668735553318,0.15621670287218306,No,0.9261363967836902,0.9420629108100212,0.01592651402633105
sp|P63027|VAMP2_HUMAN,2,10,5,5,-2.2710506282009337,0.054931669201410814,0.15621670287218306,No,0.9261363967836902,0.9420629108100212,0.01592651402633105
sp|P63027|VAMP2_HUMAN,3,10,5,5,-1.9672479016214455,0.08565811680698633,0.15621670287218306,No,0.9261363967836902,0.9420629108100212,0.01592651402633105
sp|P63027|VAMP2_HUMAN,4,10,5,5,0.9637909241413124,0.365084081794074,0.5111177145117035,No,0.9261363967836902,0.9420629108100212,0.01592651402633105
sp|P63027|VAMP2_HUMAN,6,10,5,5,0.7466444347246259,0.4774878484114764,0.5570691564800558,No,0.9261363967836902,0.9420629108100212,0.01592651402633105
sp|P63027|VAMP2_HUMAN,7,10,5,5,-0.004025245252638292,0.9968924134147163,0.9968924134147163,No,0.9261363967836902,0.9420629108100212,0.01592651402633105
sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,1,10,5,5,-0.11873673265883086,0.9084173012666815,0.9084173012666815,No,0.9283096137612409,0.9281939898484722,1.1562391276864759e-4
sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,2,10,5,5,-1.1054662311318886,0.3032839573431365,0.9084173012666815,No,0.9283096137612409,0.9281939898484722,1.1562391276864759e-4
sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,3,10,5,5,0.24912882681357124,0.8125103048545345,0.9084173012666815,No,0.9283096137612409,0.9281939898484722,1.1562391276864759e-4
sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,4,10,5,5,0.26542690052399,0.7978986211922294,0.9084173012666815,No,0.9283096137612409,0.9281939898484722,1.1562391276864759e-4
sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,5,10,5,5,0.6244552000739392,0.5497275991955488,0.9084173012666815,No,0.9283096137612409,0.9281939898484722,1.1562391276864759e-4
sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,6,10,5,5,-0.12327763679773238,0.9049479842528475,0.9084173012666815,No,0.9283096137612409,0.9281939898484722,1.1562391276864759e-4
sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,7,10,5,5,0.32763826980600097,0.7522853546896967,0.9084173012666815,No,0.9283096137612409,0.9281939898484722,1.1562391276864759e-4
sp|P63096|GNAI1_HUMAN,2,10,5,5,-1.3332469414519617,0.2232743588675042,0.48674304148453207,No,0.9378162116572195,0.9375942910821363,2.2192057508318985e-4
sp|P63096|GNAI1_HUMAN,3,10,5,5,-1.6850309488745605,0.13185785325097868,0.48674304148453207,No,0.9378162116572195,0.9375942910821363,2.2192057508318985e-4
