protein,Df1,Df2,F value1,Mean Sq1,Mean Sq2,Pr(>F)1,Sum Sq1,Sum Sq2,padj,Significant,2-1,3-1,4-1,5-1,6-1,7-1,3-2,4-2,5-2,6-2,7-2,4-3,5-3,6-3,7-3,5-4,6-4,7-4,6-5,7-5,7-6
sp|P05026|AT1B1_HUMAN,6,63,23.542907448733615,21568863587114516e3,916151228733421200,2.168213518469496e-14,1294131815226871e5,5771752741020553e4,6.513151697777358e-14,Yes,NA,NA,NA,7.206429351303001e-4,1.354888780599195e-4,2.8638464419805665e-5,NA,NA,6.192257901496134e-4,1.1550460838738452e-4,3.3760343145727845e-5,NA,2.5553455920068746e-4,4.571375307393932e-5,8.582595952788541e-5,NA,0.020051356501441964,7.599939511049314e-8,NA,1.6059265028900427e-11,1.5483725412934746e-11
sp|P05060|SCG1_HUMAN,6,63,3.748819110845083,197510914836237.53,52686168362952.39,0.0029780050347774293,1185065489017425.2,3319228606866000.5,0.003714618342075677,Yes,0.04374154557201704,NA,NA,NA,NA,NA,NA,NA,0.013358275508992712,0.006511228276694481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P05067|A4_HUMAN,6,63,0.786259855519421,227911987552261860,289868528772460400,0.5839640309887217,1367471925313571e3,18261717312665006e3,0.5952427235619305,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P05090|APOD_HUMAN,6,63,26.7315610103861,22383403610523820,837339936931746.1,1.3879571498559705e-15,134300421663142910,52752416026700010,4.633082699791849e-15,Yes,NA,NA,0.013110777368822712,7.2723325422408e-5,1.566624607818312e-11,NA,NA,NA,6.585311392004467e-4,1.8614554342377687e-11,NA,NA,0.0027739044281632763,3.30641070078741e-11,NA,NA,3.7277909104016516e-7,0.017003033676056267,1.36647055090644e-4,1.0087844347816954e-4,1.5786150164842638e-11
sp|P05091|ALDH2_HUMAN;sp|O94788|AL1A2_HUMAN;sp|P47895|AL1A3_HUMAN,6,63,108.39710825092354,1148771812248095100,10597808657301590,2.8691072398582186e-31,689263087348857e4,667661945410000100,8.057190147895419e-30,Yes,1.1113520769434615e-4,7.675698143749798e-7,NA,NA,NA,1.5322076940549323e-11,NA,0.0205503252034257,3.379587905827375e-5,7.0661650853898195e-6,1.5322076940549323e-11,3.0379919563627844e-4,2.1464322863540275e-7,4.137822429139959e-8,1.5323187163573948e-11,NA,NA,1.5322076940549323e-11,NA,1.5322076940549323e-11,1.5322076940549323e-11
sp|P05107|ITB2_HUMAN,6,63,8.470053307525882,359826853782142.5,42482241931396.836,9.482057161525729e-7,2158961122692855,2676381241678000.5,1.5705939919605116e-6,Yes,NA,NA,NA,5.845308873696498e-4,5.01455669191353e-4,NA,NA,NA,5.845308873697608e-4,5.014556691917971e-4,NA,NA,0.00758209696165868,0.006620720600287622,NA,0.039287366352423136,0.03493184280553463,NA,NA,5.845308873696498e-4,5.01455669191353e-4
sp|P05109|S10A8_HUMAN,6,63,1.4270088626144966,791177158459285.5,554430444818491.9,0.21845988717234593,4747062950755713,34929118023564988,0.23243160049862735,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P05129|KPCG_HUMAN,6,63,6.722712014013271,9597049566904950,1427556252134587.5,1.551231260331677e-5,57582297401429704,89936043884479008,2.3367711062378268e-5,Yes,NA,NA,NA,NA,0.004053677625028618,1.9776600390031263e-4,NA,NA,NA,0.009896973553751076,5.477672538241052e-4,NA,NA,NA,0.004050104945808486,NA,NA,0.011009327780283185,NA,NA,NA
sp|P05141|ADT2_HUMAN,6,63,28.157850598400998,62969797753595190,2236314079923808.8,4.365749711193959e-16,377818786521571140,140887787035199950,1.5307628712445256e-15,Yes,NA,0.0043853076500660615,NA,0.013868998405276112,7.297177555709577e-4,1.647296792306463e-7,NA,NA,2.378949656900442e-5,6.856410120770207e-7,1.0795642158001328e-10,0.010981052632994759,8.387209260440898e-9,2.235184259902212e-10,1.5401124819902634e-11,0.005621644845222429,2.567170891385473e-4,5.0149081665118445e-8,NA,0.038719344537506806,NA
sp|P05155|IC1_HUMAN,6,63,2.91958444328144,334053677262571.5,114418227577317.47,0.014123440060525308,2004322063575429,7208348337371001,0.01658298811862983,Yes,NA,NA,NA,NA,NA,0.013052846449861377,NA,NA,NA,NA,0.02136226567407007,NA,NA,NA,0.03218312634884535,NA,NA,NA,NA,NA,NA
sp|P05164|PERM_HUMAN,6,63,0.6535352493165834,47379578395285.664,72497357173666.7,0.6871047399903152,284277470371714,4567333501941002,0.6966636664823963,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P05165|PCCA_HUMAN,6,63,23.236697199395753,4607536339204623,198287058598174.5,2.859856598268436e-14,27645218035227736,12492084691684994,8.46617122562832e-14,Yes,1.8374540195098543e-4,7.887764341685255e-8,NA,NA,NA,NA,NA,4.212064386743819e-5,2.9199606066399042e-8,2.4936244413797937e-7,0.040394001809932134,1.576814734338683e-8,2.428446332913836e-11,9.143452661675155e-11,5.6101673527320095e-5,NA,NA,NA,NA,0.0034836382186184123,0.01791947284342643
sp|P05166|PCCB_HUMAN,6,63,37.69297954208322,9654394328001566,256132426921111.1,4.823565362266012e-19,57926365968009390,16136342896029998,2.2891369882009705e-18,Yes,2.893349056087846e-5,8.05711173224033e-7,NA,2.8296409795847133e-5,0.007376696474795663,NA,NA,1.822156531772201e-6,1.5390244634261308e-11,2.6736501901325482e-11,3.8362182208651063e-8,4.5919721913811884e-8,1.5346057757881226e-11,1.5670464925676697e-11,9.294375269419675e-10,3.9175019129922273e-4,NA,NA,NA,0.009630194668578729,NA
