Uniprot_ID,Uniprot_name,Location_control,Confidence_control,Location_AD,Confidence_AD
P35612,ADDB_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P35613,BASI_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P35637,FUS_HUMAN,Nucleus,High,Nucleus,Medium
P35749,MYH11_HUMAN,Nucleus,High,Nucleus,High
P35749,MYH11_HUMAN,Nucleus,High,Nucleus,High
P35754,GLRX1_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P35813,PPM1A_HUMAN,Cytoplasm,High,Cytoplasm_Cytoskeleton,Low
P35998,PRS7_HUMAN,Cytoskeleton,Medium,Presynapse,Low
P36222,CH3L1_HUMAN,NA,None,Mitochondria,Low
P36269,GGT5_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum_Plasma membrane,Low
P36404,ARL2_HUMAN,Endoplasmic Reticulum,Medium,Presynapse,Low
P36405,ARL3_HUMAN,Cytoskeleton,High,Cytoskeleton_Plasma membrane,Low
P36507,MP2K2_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P36542,ATPG_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,High
P36543,VATE1_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
P36578,RL4_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P36776,LONM_HUMAN,NA,None,Cytoskeleton,Medium
P36871,PGM1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P36873,PP1G_HUMAN,Endoplasmic Reticulum,Medium,Cytoplasm,Low
P36915,GNL1_HUMAN,Cytoskeleton_Presynapse,Low,Endoplasmic Reticulum,Low
P36955,PEDF_HUMAN;CON__Q95121,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Low
P36957,ODO2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P36959,GMPR1_HUMAN,Cytoplasm,High,Cytoplasm,High
P36969,GPX4_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P37108,SRP14_HUMAN,Cytoskeleton,Medium,Endoplasmic Reticulum,Low
P37235,HPCL1_HUMAN,Cytoplasm,Medium,Cytoskeleton,Low
P37802,TAGL2_HUMAN,Cytoplasm,High,Cytoplasm,High
P37837,TALDO_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P37840,SYUA_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P38117,ETFB_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P38159,RBMX_HUMAN;sp,Nucleus,High,Nucleus,High
P38405,GNAL_HUMAN,NA,None,Mitochondria_Nucleus,Low
P38606,VATA_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P38646,GRP75_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P38919,IF4A3_HUMAN,Nucleus,High,Nucleus,Medium
P39019,RS19_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P39023,RL3_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
P39060,COIA1_HUMAN,Nucleus,High,Nucleus,High
P39210,MPV17_HUMAN,Mitochondria,High,Mitochondria,High
P39656,OST48_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum_Plasma membrane,Low
P39687,AN32A_HUMAN;sp,Cytoskeleton,High,Cytoskeleton,Medium
P40121,CAPG_HUMAN,Cytoplasm,High,Cytoplasm_Cytoskeleton,Low
P40123,CAP2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P40145,ADCY8_HUMAN,NA,None,Endoplasmic Reticulum_Mitochondria,Low
P40227,TCPZ_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P40429,RL13A_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton_Presynapse,Low
P40616,ARL1_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P40763,STAT3_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P40855,PEX19_HUMAN,Mitochondria,Low,Mitochondria_Postsynapse,Low
P40925,MDHC_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P40926,MDHM_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P40939,ECHA_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P41091,IF2G_HUMAN;sp,Plasma membrane,Medium,Plasma membrane,Low
P41208,CETN2_HUMAN;sp,Endoplasmic Reticulum,Medium,Mitochondria_Postsynapse,Low
P41217,OX2G_HUMAN,Plasma membrane,Medium,Presynapse,Medium
P41222,PTGDS_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P41240,CSK_HUMAN,Endoplasmic Reticulum,High,Mitochondria,Medium
P41250,GARS_HUMAN,Cytoskeleton,High,Cytoskeleton,Medium
P41252,SYIC_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Endoplasmic Reticulum,Medium
P41567,EIF1_HUMAN,Endoplasmic Reticulum_Plasma membrane,Low,Endoplasmic Reticulum_Plasma membrane,Low
P41586,PACR_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
P42025,ACTY_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P42126,ECI1_HUMAN,Cytoplasm,High,Cytoplasm,High
P42167,LAP2B_HUMAN;sp,Nucleus,High,Nucleus,Medium
P42224,STAT1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Low
P42262,GRIA2_HUMAN,Postsynapse,Medium,Cytoskeleton,Low
P42263,GRIA3_HUMAN,Postsynapse,Medium,Postsynapse,Medium
P42330,AK1C3_HUMAN,Cytoplasm_Cytoskeleton,Low,Endoplasmic Reticulum,High
P42345,MTOR_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,High
P42356,PI4KA_HUMAN;sp,Plasma membrane,High,Presynapse,Low
P42566,EPS15_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,High
P42658,DPP6_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P42677,RS27_HUMAN,Plasma membrane_Presynapse,Low,Cytoskeleton_Plasma membrane,Low
P42704,LPPRC_HUMAN,Cytoskeleton_Postsynapse,Low,Cytoskeleton_Plasma membrane,Low
P42765,THIM_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P42766,RL35_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P42785,PCP_HUMAN,Cytoplasm,Medium,Cytoplasm,Medium
P42858,HD_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Cytoskeleton,Medium
P43003,EAA1_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
P43004,EAA2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P43007,SATT_HUMAN,Presynapse,Medium,Cytoskeleton,High
P43034,LIS1_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P43121,MUC18_HUMAN,Plasma membrane,Medium,Plasma membrane,High
P43155,CACP_HUMAN,Cytoskeleton,Medium,Mitochondria_Postsynapse,Low
P43243,MATR3_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P43304,GPDM_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P43307,SSRA_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum,High
P43487,RANG_HUMAN,Cytoskeleton,Low,Cytoskeleton,Medium
P43490,NAMPT_HUMAN,Cytoskeleton,High,Cytoskeleton,Medium
P43686,PRS6B_HUMAN,Plasma membrane,High,Cytoskeleton,High
P43897,EFTS_HUMAN,Postsynapse,High,Postsynapse,High
P45381,ACY2_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P45880,VDAC2_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P45954,ACDSB_HUMAN,Mitochondria,High,Mitochondria,Low
P45974,UBP5_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P45985,MP2K4_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P46060,RAGP1_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum,Low
P46108,CRK_HUMAN,Cytoskeleton,Low,Cytoskeleton,High
P46109,CRKL_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P46379,BAG6_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P46439,GSTM5_HUMAN,Cytoplasm,Medium,Mitochondria,Medium
P46459,NSF_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P46776,RL27A_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P46777,RL5_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P46778,RL21_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P46779,RL28_HUMAN,Endoplasmic Reticulum_Plasma membrane,Low,Plasma membrane,Medium
P46781,RS9_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,Medium
P46782,RS5_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P46783,RS10_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
P46821,MAP1B_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P46926,GNPI1_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,Medium
P46939,UTRO_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
P46940,IQGA1_HUMAN,Cytoplasm_Cytoskeleton,Low,Cytoplasm_Cytoskeleton,Low
P46952,3HAO_HUMAN,Cytoskeleton_Nucleus,Low,Cytoskeleton,High
P46976,GLYG_HUMAN,Cytoplasm,High,Cytoplasm,High
P47736,RPGP1_HUMAN,Endoplasmic Reticulum,Medium,Cytoskeleton_Presynapse,Low
P47870,GBRB2_HUMAN,Postsynapse,Medium,Cytoskeleton,Medium
P47897,SYQ_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,Medium
P47914,RL29_HUMAN,Plasma membrane,Medium,Cytoskeleton,Medium
P47985,UCRI_HUMAN;sp,Plasma membrane,Medium,Cytoskeleton,High
P48047,ATPO_HUMAN,Cytoskeleton_Plasma membrane,Low,Cytoskeleton_Plasma membrane,Low
P48066,S6A11_HUMAN;sp,Presynapse,High,Endoplasmic Reticulum,High
P48147,PPCE_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P48163,MAOX_HUMAN,Cytoskeleton,High,Cytoskeleton,Medium
P48426,PI42A_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
P48444,COPD_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P48506,GSH1_HUMAN,Cytoplasm_Endoplasmic Reticulum,Low,Endoplasmic Reticulum,Medium
P48539,PCP4_HUMAN,Cytoplasm,High,Cytoplasm,High
P48553,TPC10_HUMAN,Endoplasmic Reticulum,High,Mitochondria_Nucleus,Low
P48556,PSMD8_HUMAN,Presynapse,Medium,Endoplasmic Reticulum,High
P48637,GSHB_HUMAN,Cytoplasm,Medium,Cytoplasm,High
P48643,TCPE_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P48723,HSP13_HUMAN,Endoplasmic Reticulum,Medium,Nucleus,Medium
P48735,IDHP_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P48739,PIPNB_HUMAN,Cytoplasm,High,Cytoplasm,Low
P49006,MRP_HUMAN,Endoplasmic Reticulum,Low,Plasma membrane_Presynapse,Low
P49189,AL9A1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49207,RL34_HUMAN,Plasma membrane,Low,Presynapse,Low
P49257,LMAN1_HUMAN,Endoplasmic Reticulum,Medium,Endoplasmic Reticulum,Medium
P49327,FAS_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49354,FNTA_HUMAN,Endoplasmic Reticulum,Medium,Cytoplasm_Endoplasmic Reticulum,Low
P49368,TCPG_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49407,ARRB1_HUMAN,Cytoskeleton,High,Cytoskeleton,High
P49411,EFTU_HUMAN,Plasma membrane,High,Cytoskeleton,Medium
P49418,AMPH_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49419,AL7A1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49441,INPP_HUMAN,Cytoskeleton,Medium,Cytoskeleton,Medium
P49588,SYAC_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49589,SYCC_HUMAN,Cytoplasm,High,Cytoplasm,High
P49591,SYSC_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49593,PPM1F_HUMAN,Cytoplasm_Cytoskeleton,Low,Cytoskeleton,Low
P49720,PSB3_HUMAN,Cytoskeleton,Medium,Cytoplasm,Medium
P49721,PSB2_HUMAN,Cytoplasm,Medium,Cytoplasm,High
P49748,ACADV_HUMAN,Plasma membrane,Medium,Plasma membrane,Medium
P49755,TMEDA_HUMAN,Endoplasmic Reticulum,High,Presynapse,Medium
P49758,RGS6_HUMAN,Endoplasmic Reticulum_Presynapse,Low,Endoplasmic Reticulum,Medium
P49773,HINT1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49802,RGS7_HUMAN,Plasma membrane,High,NA,None
P49815,TSC2_HUMAN,Endoplasmic Reticulum,High,Mitochondria,High
P49821,NDUV1_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P49840,GSK3A_HUMAN,Cytoskeleton,Medium,Cytoskeleton_Endoplasmic Reticulum,Low
P49841,GSK3B_HUMAN,Endoplasmic Reticulum,High,Plasma membrane,Low
P49902,5NTC_HUMAN,Cytoplasm,High,Cytoplasm,High
P49915,GUAA_HUMAN,Cytoplasm,Medium,Cytoskeleton,Medium
P50135,HNMT_HUMAN,Cytoplasm,High,Cytoplasm,High
P50148,GNAQ_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P50151,GBG10_HUMAN,Plasma membrane,Medium,Presynapse,Low
P50213,IDH3A_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P50226,ST1A2_HUMAN;sp,Endoplasmic Reticulum,Low,Nucleus,Low
P50336,PPOX_HUMAN,Mitochondria_Postsynapse,Low,Mitochondria,High
P50395,GDIB_HUMAN,Plasma membrane,Medium,Cytoskeleton,High
P50402,EMD_HUMAN,Endoplasmic Reticulum,Low,Endoplasmic Reticulum_Nucleus,Low
P50416,CPT1A_HUMAN,Endoplasmic Reticulum,High,Endoplasmic Reticulum,High
P50440,GATM_HUMAN,Cytoplasm,High,Cytoplasm,Medium
P50453,SPB9_HUMAN;sp,Cytoplasm,High,Cytoplasm,High
P50454,SERPH_HUMAN,Nucleus,Medium,Endoplasmic Reticulum,High
P50502,F10A1_HUMAN;sp,Cytoskeleton_Plasma membrane,Low,Cytoskeleton,High
P50570,DYN2_HUMAN,Cytoskeleton,Medium,Cytoskeleton,High
P50579,MAP2_HUMAN,Cytoplasm,High,Nucleus,High
P50583,AP4A_HUMAN,Endoplasmic Reticulum_Mitochondria,Low,Endoplasmic Reticulum,Medium
P50897,PPT1_HUMAN,Cytoskeleton,High,Cytoskeleton,High
