Protein.IDs,LFQ_A1,LFQ_A2,LFQ_A3,LFQ_A4,LFQ_A5,LFQ_A6,LFQ_A7,LFQ_B1,LFQ_B2,LFQ_B3,LFQ_B4,LFQ_B5,LFQ_B6,LFQ_B7,LFQ_C1,LFQ_C2,LFQ_C3,LFQ_C4,LFQ_C5,LFQ_C6,LFQ_C7,LFQ_D1,LFQ_D2,LFQ_D3,LFQ_D4,LFQ_D5,LFQ_D6,LFQ_D7,LFQ_E1,LFQ_E2,LFQ_E3,LFQ_E4,LFQ_E5,LFQ_E6,LFQ_E7,LFQ_F1,LFQ_F2,LFQ_F3,LFQ_F4,LFQ_F5,LFQ_F6,LFQ_F7,LFQ_G1,LFQ_G2,LFQ_G3,LFQ_G4,LFQ_G5,LFQ_G6,LFQ_G7,LFQ_H1,LFQ_H2,LFQ_H3,LFQ_H4,LFQ_H5,LFQ_H6,LFQ_H7,LFQ_I1,LFQ_I2,LFQ_I3,LFQ_I4,LFQ_I5,LFQ_I6,LFQ_I7,LFQ_J1,LFQ_J2,LFQ_J3,LFQ_J4,LFQ_J5,LFQ_J6,LFQ_J7
sp|P00734|THRB_HUMAN,0,0,0,0,0,0,8730300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22406000,0,0,0,0,0,0,0
sp|P00736|C1R_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P00738|HPT_HUMAN;sp|P00739|HPTR_HUMAN,9055300,16161000,32199000,30278000,75439000,254280000,623460000,59210000,87351000,77356000,149770000,273430000,330790000,1550300000,1628500,2273300,4072600,1337400,34555000,36682000,334900000,92962000,124250000,120230000,269070000,508260000,985670000,3174100000,747650,5423300,34858000,36682000,43301000,74099000,558910000,16607000,44222000,53692000,100230000,224720000,433540000,1389000000,18820000,42201000,42439000,91292000,154380000,150160000,885500000,40347000,80334000,98062000,174420000,270290000,369820000,1628000000,54605000,103550000,121480000,299530000,811290000,567240000,1765300000,12793000,35846000,37431000,84486000,144880000,152720000,820870000
sp|P00751|CFAB_HUMAN,0,0,0,833720,0,892660,6959600,588300,0,968980,0,2093100,0,24885000,0,1775900,837300,1642100,878180,1208900,4013700,1855400,2356300,1256600,1272300,7865000,2958400,30260000,0,1054500,473530,1112400,1628100,874510,2229800,1190900,978030,604490,1717700,0,1952600,0,1022100,634830,454030,891980,1483700,1656900,11543000,0,1868500,2432300,9198500,4009000,4447700,31369000,1759700,1854100,2314300,3584500,1972500,2232200,67296000,0,0,683600,1228100,0,912900,12415000
sp|P00813|ADA_HUMAN,0,2311100,2957400,0,2932100,1732300,10368000,0,0,2669300,1349300,2023300,2690800,0,0,0,0,0,0,0,12689000,1931300,1306600,1655000,0,2345100,0,17522000,0,0,1589700,3850800,4423600,4496900,16541000,2403300,0,1571900,0,1685400,1976700,16179000,0,0,1388100,1418500,0,2412000,5501800,1879500,2256900,2738400,7666800,8754900,8028100,12111000,0,0,0,0,3206900,7499500,9972300,0,0,0,1951900,2449900,1769600,15454000
sp|P00846|ATP6_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31563000,0,0,0,0,0,0,0,0,26434000,0,0,0,0,36762000,0,51469000,0,0,0,0,57224000,103910000,66217000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28880000,47451000,36848000,0,0,0,0,0,48103000,0,0,0,0
sp|P00915|CAH1_HUMAN,26354000,44118000,40829000,65090000,126510000,120110000,981180000,28703000,59142000,76776000,74698000,106920000,124320000,1130000000,19485000,48664000,54574000,97313000,116400000,111960000,944400000,23762000,53684000,69230000,85035000,80478000,122670000,1319900000,3640800,13988000,11499000,25416000,23217000,30354000,305960000,11977000,22851000,29551000,22098000,75972000,43485000,670540000,19688000,42412000,43461000,100420000,121730000,94582000,792320000,6618800,9535400,18856000,6610800,27576000,34762000,475780000,6862700,28760000,57231000,84062000,124580000,69600000,568030000,0,3464700,12937000,39860000,53226000,19170000,344010000
sp|P00918|CAH2_HUMAN,169570000,202090000,176160000,179390000,269010000,252540000,778790000,129730000,185830000,197660000,262530000,316880000,419070000,1138800000,111320000,170810000,153750000,164060000,221740000,169370000,800970000,177040000,225320000,260360000,266900000,293140000,334700000,1341700000,151370000,199070000,239080000,262750000,335530000,358300000,1174700000,248400000,280740000,302810000,356780000,439210000,495230000,1556000000,114560000,136570000,135910000,198940000,289160000,265690000,791810000,178370000,231100000,268350000,294730000,408340000,473340000,1339800000,177590000,188640000,179040000,283440000,546330000,455930000,1355300000,207860000,271380000,197650000,226300000,271720000,210320000,1106700000
sp|P00966|ASSY_HUMAN,7959500,12151000,10623000,14999000,11880000,8635700,80550000,18903000,22985000,17196000,26797000,35544000,38883000,57953000,10109000,17396000,12789000,27759000,40184000,53361000,111100000,8821500,9982300,12343000,18777000,28680000,23794000,91763000,18667000,14983000,12611000,24382000,17210000,34944000,81490000,7235000,11165000,5798700,14215000,10230000,24523000,27782000,15535000,12112000,11692000,28998000,21867000,31916000,110970000,49920000,22177000,88901000,118800000,116770000,135180000,101310000,19728000,20804000,9453300,15000000,18143000,30207000,78847000,12032000,8013000,3877200,10399000,18278000,16051000,74482000
sp|P01008|ANT3_HUMAN,0,0,0,0,0,0,7691000,0,0,0,0,0,0,8546200,0,0,0,0,0,0,8268200,7000000,0,0,0,0,0,19729000,0,0,0,0,0,0,5226000,0,0,0,0,0,0,13234000,0,0,0,0,0,0,0,0,0,0,0,0,0,12653000,0,0,0,0,0,0,19052000,0,0,0,0,0,0,12927000
